name,melt_temp,mold_temp,flow_rate_r,flow_rate_f,diameter,ram_displ,thickness,pack_press,pack_time,cool_time,Parallel_shrink,vertical_shrink,volume_shrink,dummy
1200HF,275.2,76.1,33.4,,,,2,35.4,15,10,0.803,0.859,5.852,0
1200HF,275.8,77.5,32.6,,,,2,70,15,10,0.707,0.708,4.401,0
1200HF,276.7,78.2,31.8,,,,2,104.5,15,10,0.495,0.477,3.167,0
1200HF,275.8,77.8,16.7,,,,2,69.8,15,10,0.735,0.741,4.372,0
1200HF,276.9,77.6,50.8,,,,2,69.9,15,10,0.683,0.691,4.401,0
1200HF,289.1,75.4,35.3,,,,2,35.2,17,10,0.81,0.868,5.818,0
1200HF,289.3,75.8,33.4,,,,2,74.7,17,10,0.674,0.668,4.178,0
1200HF,288.4,76.3,35.3,,,,2,114.3,17,10,0.38,0.359,2.796,0
1200HF,288.6,76,15.5,,,,2,74.4,17,10,0.692,0.705,4.162,0
1200HF,287.2,76.4,50.8,,,,2,74.8,17,10,0.656,0.651,4.175,0
1200HF,288.3,76,24.4,,,,1.5,45.3,12.5,10,0.771,0.793,5.766,0
1200HF,287.7,76.4,22.7,,,,1.5,89.9,12.5,10,0.564,0.544,4.35,0
1200HF,288.5,77.1,24.4,,,,1.5,134.4,12.5,10,0.359,0.332,2.836,0
1200HF,287.7,76.9,10.9,,,,1.5,89.8,12.5,10,0.682,0.684,3.848,0
1200HF,288.1,76.9,36.6,,,,1.5,90.1,12.5,10,0.487,0.472,4.278,0
1200HF,287.4,74,44.7,,,,3,25.5,24,10,0.808,0.928,5.317,0
1200HF,286.6,74.6,41.8,,,,3,50,24,10,0.742,0.782,4.291,0
1200HF,287.8,75.3,42.7,,,,3,74.6,24,10,0.634,0.645,3.405,0
1200HF,288.7,74.6,20.2,,,,3,50,24,10,0.761,0.81,4.316,0
1200HF,287.9,74.8,66.3,,,,3,50,24,10,0.751,0.776,4.266,0
1200HF,300.9,74.5,35.3,,,,2,35.3,19,10,0.801,0.861,5.761,0
1200HF,300.8,74.5,35.3,,,,2,74.7,19,10,0.643,0.649,4.136,0
1200HF,301.7,75.6,34.3,,,,2,114.5,19,10,0.321,0.316,2.751,0
1200HF,300.5,74.9,16.7,,,,2,74.4,19,10,0.667,0.667,4.123,0
1200HF,301.3,75.4,50.8,,,,2,74.8,19,10,0.629,0.629,4.128,0
